conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Approve Meeting,"The act of defining the meeting and its subject matter, planning the meeting, budgeting and scheduling the meeting, identifying resources for the meeting, and approving the meeting.",Value Stream Stage,,Deliver Meeting,,Deliver Meeting,2,,
,Prepare Meeting,"The act of securing resources, such as people, assets, or facilities for the meeting.",Value Stream Stage,,Deliver Meeting,,Deliver Meeting,3,,
,Conduct Meeting,The act of carrying out the activities defined in the meeting plan.,Value Stream Stage,,Deliver Meeting,,Deliver Meeting,4,,
,Finalize Meeting,"The act of concluding the meeting, which may include activities such as communicating with stakeholders after a meeting, recording or memorializing the meeting subject matter, evaluating the outcomes of the meeting, paying for the meeting, or cleaning up after the meeting.",Value Stream Stage,,Deliver Meeting,,Deliver Meeting,5,,
,Deliver Training,"The end-to-end perspective of planning, executing, and communicating a training course for the purpose of increasing knowledge and skill.",Value Stream,,,,,,,
,Request Training,The act of requesting a unit or curriculum of a training course.,Value Stream Stage,,Deliver Training,,Deliver Training,1,,
,Define Training Plan,"The act of identifying training course curriculum options to be delivered to meet the learning, schedule, and budget objectives, and finalizing a plan to proceed.",Value Stream Stage,,Deliver Training,,Deliver Training,2,,
,Prepare for Training Delivery,"The act of scheduling, making arrangements for, resourcing, staging, and readying a training course, according to plan, to prepare for delivery.",Value Stream Stage,,Deliver Training,,Deliver Training,3,,
,Orchestrate Training Delivery,The act of imparting a training course and validating that it has been understood.,Value Stream Stage,,Deliver Training,,Deliver Training,4,,
,Finalize Post-Delivery Actions,The act of evaluating a training course learning content and training event delivery metrics and making that information available to appropriate stakeholders.,Value Stream Stage,,Deliver Training,,Deliver Training,5,,
,Deploy Asset,The end-to-end perspective of making an asset available for use within the organization and to the individual(s) requesting the asset.,Value Stream,,,,,,,
,Receive Request,The act of receiving the request for installation or maintenance of an asset.,Value Stream Stage,,Deploy Asset,,Deploy Asset,1,,
,Validate Request,The act of authenticating and verifying a request received for asset.,Value Stream Stage,,Deploy Asset,,Deploy Asset,2,,
,Evaluate Asset,The act of assessing performance or suitability of asset.,Value Stream Stage,,Deploy Asset,,Deploy Asset,3,,
,Configure Asset,"The act of initializing, setting up, creating, assembling, validating, or repairing asset in preparation for deployment.",Value Stream Stage,,Deploy Asset,,Deploy Asset,4,,
,Activate Asset,The act of making the asset ready for use and closing the request.,Value Stream Stage,,Deploy Asset,,Deploy Asset,5,,
,Deploy Government Service,The end-to-end perspective involved in creating and launching a new or modifying or decommissioning an existing government service.,Value Stream,,,,,,,
,Conceptualize Government Service,"The activities of envisioning and articulating a new or modified government service based on market research, competitive analysis, customer input, and other insights.",Value Stream Stage,,Deploy Government Service,,Deploy Government Service,1,,
,Design and Create Government Service,"The activities of designing, test marketing a government service concept, establishing appropriate pricing and profitability models, creating the government service and everything required to support it.",Value Stream Stage,,Deploy Government Service,,Deploy Government Service,2,,
,Launch Government Service,"The activities conducted at appropriate scale, e.g., including a pilot test, to mitigate risk, test, verify, and make the government service available to all applicable delivery channels.",Value Stream Stage,,Deploy Government Service,,Deploy Government Service,3,,
,Assess Government Service Deployment Success,The activities of verifying and assessing the performance of the government service deployment.,Value Stream Stage,,Deploy Government Service,,Deploy Government Service,4,,
,Deploy Infrastructure,"The end-to-end perspective of planning, specifying, designing, and commissioning major or minor modifications to infrastructure, including roads, railways, bridges, tunnels, stations, rail corridors, and related structures.",Value Stream,,,,,,,
,Initiate Infrastructure Change,The act of requesting new or updated infrastructure.,Value Stream Stage,,Deploy Infrastructure,,Deploy Infrastructure,1,,
,Define Infrastructure Change,"The act of defining infrastructure changes, aligned to policies and analyzed trends, producing conceptual designs and plans, and gaining appropriate approval.",Value Stream Stage,,Deploy Infrastructure,,Deploy Infrastructure,2,,
,Award Contract,The act of tendering and awarding a contract to carry out the work.,Value Stream Stage,,Deploy Infrastructure,,Deploy Infrastructure,3,,
,Produce Designs and Specifications,The act of producing detailed designs and specifications for an infrastructure update.,Value Stream Stage,,Deploy Infrastructure,,Deploy Infrastructure,4,,
,Create Coordinated Schedule,The act of assessing and agreeing to the best options for scheduling so as to minimize disruptive impacts.,Value Stream Stage,,Deploy Infrastructure,,Deploy Infrastructure,5,,
