conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Energy -> Operation,Related information concept link from Energy to Operation,Information Concept Link,,Energy,,Energy,6,,Operation
,Energy -> Plan,Related information concept link from Energy to Plan,Information Concept Link,,Energy,,Energy,7,,Plan
,Energy -> Policy,Related information concept link from Energy to Policy,Information Concept Link,,Energy,,Energy,8,,Policy
,Event,"Category: Primary. An occurrence that has happened or may happen, especially one of importance, concern, or interest.",Information Concept,,,,,,,
,Planned,Type for Event,Information Concept Type,,Event,,Event,1,,
,Unplanned,Type for Event,Information Concept Type,,Event,,Event,2,,
,Triggering,Type for Event,Information Concept Type,,Event,,Event,3,,
,Resulting,Type for Event,Information Concept Type,,Event,,Event,4,,
,Past,State for Event,Information Concept State,,Event,,Event,1,,
,In-Progress,State for Event,Information Concept State,,Event,,Event,2,,
,Future,State for Event,Information Concept State,,Event,,Event,3,,
,Event -> Accreditation,Related information concept link from Event to Accreditation,Information Concept Link,,Event,,Event,1,,Accreditation
,Event -> Agreement,Related information concept link from Event to Agreement,Information Concept Link,,Event,,Event,2,,Agreement
,Event -> Asset,Related information concept link from Event to Asset,Information Concept Link,,Event,,Event,3,,Asset
,Event -> Biological Organism,Related information concept link from Event to Biological Organism,Information Concept Link,,Event,,Event,4,,Biological Organism
,Event -> Brand,Related information concept link from Event to Brand,Information Concept Link,,Event,,Event,5,,Brand
,Event -> Campaign,Related information concept link from Event to Campaign,Information Concept Link,,Event,,Event,6,,Campaign
,Event -> Case,Related information concept link from Event to Case,Information Concept Link,,Event,,Event,7,,Case
,Event -> Channel,Related information concept link from Event to Channel,Information Concept Link,,Event,,Event,8,,Channel
,Event -> Claim,Related information concept link from Event to Claim,Information Concept Link,,Event,,Event,9,,Claim
,Event -> Competency,Related information concept link from Event to Competency,Information Concept Link,,Event,,Event,10,,Competency
,Event -> Constituent,Related information concept link from Event to Constituent,Information Concept Link,,Event,,Event,11,,Constituent
,Event -> Content Impression,Related information concept link from Event to Content Impression,Information Concept Link,,Event,,Event,12,,Content Impression
,Event -> Content,Related information concept link from Event to Content,Information Concept Link,,Event,,Event,13,,Content
,Event -> Conveyor,Related information concept link from Event to Conveyor,Information Concept Link,,Event,,Event,14,,Conveyor
,Event -> Currency,Related information concept link from Event to Currency,Information Concept Link,,Event,,Event,15,,Currency
,Event -> Dispute,Related information concept link from Event to Dispute,Information Concept Link,,Event,,Event,16,,Dispute
,Event -> Energy,Related information concept link from Event to Energy,Information Concept Link,,Event,,Event,17,,Energy
,Event -> Event,Related information concept link from Event to Event,Information Concept Link,,Event,,Event,18,,Event
